ID;Учреждение;Адрес;ИНН;Категория
5;ГБУК «Белгородский государственный историко-краеведческий музей»;Белгородская обл, г Белгород, ул Попова, д 2А;3125017020;Музеи и галереи
6;ОГАУК «Драматический театр имени М. С. Щепкина»;Белгородская обл, г Белгород, Соборная пл, д 1;3124010511;Театры
7;ГБУК «Белгородский государственный литературный музей»;Белгородская обл, г Белгород, ул Преображенская, д 38;3123309972;Музеи и галереи
9;ГБУК «Белгородский государственный центр народного творчества»;Белгородская обл, г Белгород, ул Широкая, д 1;3124013992;Дворцы культуры и клубы
10;ГБУК «Белгородский государственный театр кукол»;Белгородская обл, г Белгород, ул Некрасова, д 5б/8;3124012075;Театры
11;ГБУК «Белгородский государственный музей народной культуры»;Белгородская обл, г Белгород, Гражданский пр-кт, д 61;3123115737;
13;ГБУК «Белгородский государственный историко-художественный музей-диорама «Курская битва. Белгородское направление»;Белгородская обл, г Белгород, ул Попова, д 2;3123044638;Музеи и галереи
16;ГБУК «Белгородская государственная филармония»;Белгородская обл, г Белгород, ул Белгородского полка, д 56А;3125013106;Концертные площадки
17;ГБУК «Белгородский государственный художественный музей»;Белгородская обл, г Белгород, ул Победы, д 77;3125013434;Музеи и галереи
18;МБУК «Дворец культуры «Энергомаш»;Белгородская обл, г Белгород, пр-кт Б.Хмельницкого, д 78Б;3123116402;Дворцы культуры и клубы
19;МБУ ДО «Детская школа искусств № 1 города Белгорода»;Белгородская обл, г Белгород, ул Первомайская, д 2А;3123028869;Образовательные учреждения
21;МБУК «Централизованная библиотечная система города Белгорода»;Белгородская обл, г Белгород, ул Н.Островского, д 14;3125017862;Библиотеки
25;Белгородская галерея фотоискусства им. В.А. Собровина;Белгородская обл, г Белгород, ул Попова, д 69;3123197169;Музеи и галереи
26;МКУК «Районный организационно-методический центр»;Белгородская обл, Прохоровский р-н, пгт Прохоровка, ул Советская, д 130;3115006646;Дворцы культуры и клубы
27;МБУК «Центр досуга»;Белгородская обл, г Белгород, ул Ватутина, д 2А;3123101004;Дворцы культуры и клубы
28;МКУ «Вейделевский краеведческий музей»;Белгородская обл, Вейделевский р-н, п Вейделевка, ул Центральная, д 43А;3105003646;Музеи и галереи
32;МБУК «Выставочный зал «Родина»;Белгородская обл, г Белгород, пр-кт Б.Хмельницкого, д 71;3123212843;Музеи и галереи
33;Дом офицеров;Белгородская обл, г Белгород, ул Куйбышева, д 33А;3123173048;Дворцы культуры и клубы
47;МКУК «Валуйский историко-художественный музей»;Белгородская обл, Валуйский р-н, г Валуйки, ул Ст.Разина, д 16;3126011013;Музеи и галереи
52;МКУК «Корочанский районный историко-краеведческий музей»;Белгородская обл, Корочанский р-н, г Короча, ул Дорошенко, д 28;3110008801;Музеи и галереи
54;МБУК ЦКР «Радужный»;Белгородская обл, Красненский р-н, с Красное, ул Подгорная, д 2;3112262539;Дворцы культуры и клубы
62;МКУК «Центр народного творчества Ивнянского района»;Белгородская обл, Ивнянский р-н, рп Ивня, ул Заречная, д 17А;3109003911;Дворцы культуры и клубы
63;МБУК ЦКР «Лебединец»;Белгородская обл, г Губкин, пр-кт Горняков, 1Б;3127011136;Дворцы культуры и клубы
65;МАУК Центр культурного развития «Строитель»;Белгородская обл, г Губкин, ул 9 Января, 2;3127007323;
68;МУК «Ракитянский краеведческий музей»;Белгородская обл, Ракитянский р-н, п Ракитное, ул Пролетарская, д 1;3116004585;Музеи и галереи
69;МБУК «Вейделевский ЦКР»;Белгородская обл, Вейделевский р-н, п Вейделевка, ул Комсомольская, д 7А;3105004294;Дворцы культуры и клубы
72;МБУ «Губкинский краеведческий музей»;Белгородская обл, г Губкин, ул Кирова, д 1;3127513873;Музеи и галереи
82;МБУК «Центр культурного развития п. Прохоровка»;Белгородская обл, Прохоровский р-н, пгт Прохоровка, ул Советская, д 130;3115003243;Дворцы культуры и клубы
84;МБУК «Центр культурного развития п. Ивня»;Белгородская обл, Ивнянский р-н, рп Ивня, ул Заречная, д 17А;3109002957;Дворцы культуры и клубы
91;МКУК «Ивнянский историко-краеведческий музей»;Белгородская обл, Ивнянский р-н, рп Ивня, ул Ленина, д 22;3109004707;Музеи и галереи
94;МАУК «Губкинский театр для детей и молодежи»;Белгородская обл, г Губкин, ул Лазарева, 17а;3127010125;Театры
95;МКУ «Районный организационно-методический центр»;Белгородская обл, Вейделевский р-н, п Вейделевка, ул Центральная, д 43А;3105004304;Дворцы культуры и клубы
97;МБУК «Центр культурного развития» п. Троицкий;Белгородская обл, Губкинский р-н, п Троицкий, ул Центральная, д 11;3127008158;Дворцы культуры и клубы
101;МБУК «Централизованная библиотечная система Шебекинского городского округа»;Белгородская обл, г Шебекино, ул Дзержинского, д 13;3120007772;Библиотеки
100;МБУК «ЦКР «Форум»;Белгородская обл, г Губкин, ул Мира, 18;3127008609;Дворцы культуры и клубы
109;МБУК «Борисовский дом ремёсел»;Белгородская обл, Борисовский р-н, п Борисовка, ул Советская, д 98;3103003714;Дворцы культуры и клубы
113;МБУК «РЦКР «Молодежный»;Белгородская обл, Ракитянский р-н, п Ракитное, ул Пролетарская, д 20Б;3116004850;Дворцы культуры и клубы
125;МБУК «Городской центр народного творчества «Сокол»;Белгородская обл, г Белгород, пр-кт Б.Хмельницкого, д 137К;3123037380;Дворцы культуры и клубы
127;МКУК «Грайворонский историко-краеведческий музей»;Белгородская обл, Грайворонский р-н, г Грайворон, ул Максима Горького, д 2а;3108005320;Музеи и галереи
133;МБУК «Борисовский историко-краеведческий музей»;Белгородская обл, Борисовский р-н, п Борисовка, ул Первомайская, д 15;3103003834;Музеи и галереи
147;МБУК «Центр культурного развития Краснояружского района»;Белгородская обл, Краснояружский р-н, п Красная Яруга, ул Театральная, д 1;3113001353;Дворцы культуры и клубы
155;АУК «ЦКС Белгородского района»;Белгородская обл, Белгородский р-н, п Майский, ул Кирова, д 6;3102046144;Дворцы культуры и клубы
156;ФГБУК «Государственный научно-исследовательский музей архитектуры им. А. В. Щусева»;г Москва, ул Воздвиженка, д 5/25;7704060792;Музеи и галереи
162;МУК «Дворец культуры и спорта» Валуйского ГО;Белгородская обл, Валуйский р-н, г Валуйки, ул 9 Января, д 5;3126014021;Дворцы культуры и клубы
164;МБУК «Красногвардейский краеведческий музей»;Белгородская обл, Красногвардейский р-н, г Бирюч, Соборная пл, д 18;3111005200;Музеи и галереи
165;МКУК «Централизованная клубная система»;Белгородская обл, Красненский р-н, с Красное, ул Подгорная, д 2;3112261888;Дворцы культуры и клубы
170;МБУК «Чернянский районный краеведческий музей»;Белгородская обл, Чернянский р-н, п Чернянка, Октябрьская пл, д 7;3119006453;Музеи и галереи
175;МКУК «Новооскольская клубная система»;Белгородская обл, Новооскольский р-н, г Новый Оскол, Центральная пл, д 6;3114008383;Дворцы культуры и клубы
198;Хотмыжский центральный сельский Дом культуры тест;Белгородская обл, г Белгород;;Прочее
214;ГБУК КО «Калужский ордена Трудового Красного Знамени областной драматический театр»;Калужская обл, г Калуга, Театральная пл, д 1;4027021421;Театры
201;МУК «Краснояружский краеведческий музей»;Белгородская обл, Краснояружский р-н, п Красная Яруга, ул Театральная, д 1;3113001191;Музеи и галереи
219;ГБУК КО «Калужский музей изобразительных искусств»;Калужская обл, г Калуга, ул Ленина, д 104;4027119970;Музеи и галереи
230;ГБУК КО «Дом народного творчества и кино «Центральный»;Калужская обл, г Калуга, ул Кирова, д 31;4027027416;Дворцы культуры и клубы
240;ГБУК КО «Калужский областной театр юного зрителя»;Калужская обл, г Калуга, ул Театральная, д 36;4027063171;Театры
243;МКУК «ЦС КДУ» Волоконовского района;Белгородская обл, Волоконовский р-н, п Волоконовка, ул Ленина, д 20А;3106007989;Дворцы культуры и клубы
265;Волоконовский районный краеведческий музей;Белгородская обл, Волоконовский р-н, п Волоконовка, ул Первогвардейская, д 12;3106007160;Музеи и галереи
266;ШМБУК «Центр культурного развития»;Белгородская обл, г Шебекино, ул Лихачева, д 6а;3120082963;Дворцы культуры и клубы
268;ГБУК КО «Калужский объединённый музей-заповедник»;Калужская обл, г Калуга, ул Пушкина, д 14;4027041795;Музеи и галереи
287;МАУК «Центр культурного развития «Солнечный»;Белгородская обл, Алексеевский р-н, г Алексеевка, Никольская пл, д 5;3122504829;Дворцы культуры и клубы
288;ГБУК КО «Калужская областная научная библиотека им. В.Г. Белинского»;Калужская обл, г Калуга, ул Луначарского, д 6;4027050694;Библиотеки
289;МБУ «Музей-заповедник «Дмитровский кремль»;Московская обл, г Дмитров, ул Загорская, д 17;5007022267;Музеи и галереи
296;ГАУК КО «Калужская областная филармония»;Калужская обл, г Калуга, ул Ленина, д 60;4028017080;Концертные площадки
327;МБУК «Центр культурного развития «Борисовский»;Белгородская обл, Борисовский р-н, п Борисовка, пл Ушакова, д 5А;3103003841;Дворцы культуры и клубы
328;МКУК «Старооскольский краеведческий музей»;Белгородская обл, г Старый Оскол, ул Ленина, д 50;3128037842;Музеи и галереи
334;МАУК ЦКР «Горняк»;Белгородская обл, г Старый Оскол, мкр Горняк, д 7;3128035443;Дворцы культуры и клубы
336;МАУК «Центр культурного развития «Молодежный»;Белгородская обл, г Старый Оскол, мкр Макаренко, д 7а;3128018342;Дворцы культуры и клубы
335;МАУК «Центр народных промыслов»;Белгородская обл, г Старый Оскол, Рудничный мкр, 24;3128060697;Дворцы культуры и клубы
337;МБУК «ЦКР с. Аверино»;Белгородская обл, Губкинский р-н, с Аверино, ул Центральная, д 28;3127011288;Дворцы культуры и клубы
341;МБУК «Старооскольский Дом ремесел»;Белгородская обл, г Старый Оскол, ул Мира, д 32;3128038758;Дворцы культуры и клубы
342;МБУК «Центр культурного развития Незнамовской сельской территории»;Белгородская обл, Старооскольский р-н, с Незнамово, ул Центральная, д 3;3128074192;Дворцы культуры и клубы
357;ШМБУ «Модельный дворец культуры»;Белгородская обл, г Шебекино, ул Московская, д 19;3120012204;Дворцы культуры и клубы
361;МКУК «Старооскольский художественный музей»;Белгородская обл, г Старый Оскол, ул Ленина, д 57;3128037850;Музеи и галереи
363;МАУК «Дворец культуры «Комсомолец»;Белгородская обл, г Старый Оскол, б-р Дружбы, д 1;3128027925;Дворцы культуры и клубы
371;МБУК «Районный краеведческий музей»;Калужская обл, Дзержинский р-н, г Кондрово, ул Кооперативная, д 4;4004000520;Музеи и галереи
372;МБУК «Старооскольский театр для детей и молодежи» им. Б. И. Равенских;Белгородская обл, г Старый Оскол, ул Революционная, д 15;3128015359;Театры
376;МКУК «Музей имени Первой Конной армии»;Белгородская обл, Новооскольский р-н, с Великомихайловка, ул Советская, д 77;3114008577;Музеи и галереи
383;ФГБУК «Всероссийский художественный научно-реставрационный центр им. академика И. Э. Грабаря»;г Москва, ул Радио, д 17/6;7706030095;Прочее
387;МКУК «Бабынинский РДК»;Калужская обл, Бабынинский р-н, п Бабынино, ул Новая, д 2;4001006595;Дворцы культуры и клубы
390;МКУК «Мещовский РДК»;Калужская обл, Мещовский р-н, г Мещовск, пл Ленина, д 1;4013001136;Дворцы культуры и клубы
395;МУК «Музейно-выставочный центр»;Калужская обл, Боровский р-н, г Боровск, ул Ленина, д 27;4003032209;Музеи и галереи
426;МКУК «Районный Дом культуры»;Калужская обл, Людиновский р-н, г Людиново, ул Щербакова, д 1Б;4024007179;Дворцы культуры и клубы
449;МБУ «Музей истории города Обнинска»;Калужская обл, г Обнинск, пр-кт Ленина, д 128;4025024674;Музеи и галереи
427;МБУ «Городской Дворец культуры»;Калужская обл, г Обнинск, пр-кт Ленина, д 126;4025047230;Дворцы культуры и клубы
451;МБУК «Калужский театр кукол»;Калужская обл, г Калуга, ул Кирова, д 48;4027020058;Театры
452;МБУК «Малоярославецкий военно-исторический музей 1812 года»;Калужская обл, Малоярославецкий р-н, г Малоярославец, ул Московская, д 27;4011009443;Музеи и галереи
469;Калужский Дом музыки;Калужская обл, г Калуга, ул Кирова, д 6;4027078675;Концертные площадки
